[25-Dec-2022 20:18:08 UTC] PHP Parse error:  syntax error, unexpected token "}" in /Users/Natasha/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/index.php on line 6
[27-Dec-2022 17:08:49 UTC] PHP Parse error:  syntax error, unexpected token ")" in /Users/Natasha/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/page.php on line 30
[28-Dec-2022 16:04:59 UTC] PHP Parse error:  syntax error, unexpected token "}" in /Users/Natasha/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/functions.php on line 27
[28-Dec-2022 16:04:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /Users/Natasha/Local Sites/fictional-university/app/public/wp-includes/class-wp-recovery-mode-email-service.php on line 372
[28-Dec-2022 16:04:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /Users/Natasha/Local Sites/fictional-university/app/public/wp-includes/class-wp-recovery-mode-email-service.php on line 373
[28-Dec-2022 16:05:02 UTC] PHP Parse error:  syntax error, unexpected token "}" in /Users/Natasha/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/functions.php on line 27
[28-Dec-2022 16:10:04 UTC] PHP Parse error:  syntax error, unexpected token ")" in /Users/Natasha/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/functions.php on line 30
[07-Jan-2023 20:27:02 UTC] PHP Parse error:  syntax error, unexpected token "}" in /Users/Natasha/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/functions.php on line 26
[07-Jan-2023 20:27:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /Users/Natasha/Local Sites/fictional-university/app/public/wp-includes/class-wp-recovery-mode-email-service.php on line 372
[07-Jan-2023 20:27:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /Users/Natasha/Local Sites/fictional-university/app/public/wp-includes/class-wp-recovery-mode-email-service.php on line 373
[07-Jan-2023 21:06:42 UTC] PHP Warning:  Undefined variable $programs in /Users/Natasha/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/single-event.php on line 32
[07-Jan-2023 21:06:42 UTC] PHP Warning:  Undefined variable $programs in /Users/Natasha/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/single-event.php on line 32
[07-Jan-2023 21:09:59 UTC] PHP Parse error:  syntax error, unexpected token "class", expecting "," or ";" in /Users/Natasha/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/single-event.php on line 32
[16-Jan-2023 21:04:12 UTC] PHP Warning:  Undefined array key "size" in /Users/Natasha/Local Sites/fictional-university/app/public/wp-content/plugins/manual-image-crop/lib/ManualImageCropEditorWindow.php on line 39
[16-Jan-2023 21:05:59 UTC] PHP Warning:  Undefined array key "size" in /Users/Natasha/Local Sites/fictional-university/app/public/wp-content/plugins/manual-image-crop/lib/ManualImageCropEditorWindow.php on line 39
